metric,NC,HPC,HPCE,LPC,Overall,task,model
f1,54.414944403006615,60.285196193039205,62.32079682028323,65.3201939313072,62.32285029751655,KFextract,OLMo2-7B
f1,57.04545454545455,52.95454545454545,51.47727272727274,52.61363636363636,52.784090909090885,CK,OLMo2-7B
f1,58.48484848488636,36.4015151515341,27.26010101011365,28.49905303031251,32.70643939395449,PK,OLMo2-7B
f1,48.21969696971591,43.617424243408976,42.67676767808696,44.57859848639186,44.17992424363723,PCK,OLMo2-7B
f1,47.82196969698862,45.53977272823851,44.48232323365514,44.9384469712214,45.21022727393264,RAG,OLMo2-7B
f1,76.74435201564202,77.03901965439238,79.17258301080138,80.6746838235022,79.10388756508323,KFextract,MistralMoE-7B
f1,65.32088950340132,47.11660329531977,45.50869915889621,43.76224219381005,47.112916234597,CK,MistralMoE-7B
f1,62.70307639129277,40.6314091485223,29.25682682336906,34.8507892614397,37.11395322042032,PK,MistralMoE-7B
f1,62.45880861850674,46.98928448056594,42.71805507656518,45.66482313768464,46.725083536012576,PCK,MistralMoE-7B
f1,54.74709067866229,47.974421017254336,44.66950877726701,47.09845604486142,47.30982832244872,RAG,MistralMoE-7B
f1,75.07781971815807,73.24248968711038,74.83941925838074,76.2182718518213,75.09541442748184,KFextract,Qwen2.5-7B
f1,82.05136453817275,66.1951101818344,65.58057655543212,61.22835236728152,65.60967240373242,CK,Qwen2.5-7B
f1,84.39118545927943,67.33445927838471,55.290332958093536,57.91767197477765,61.66017907894628,PK,Qwen2.5-7B
f1,84.43139778029438,72.9845584702353,68.82812360575612,68.85957857707574,71.23231998465307,PCK,Qwen2.5-7B
f1,82.28084285029755,71.21816524728499,67.41032652598247,67.32949976083503,69.62661519663611,RAG,Qwen2.5-7B
